위도,경도
36.53453967,127.2820517
36.5339998,127.294412
36.53405493,127.2946957
36.53435056,127.2942124
36.53403759,127.2942879
36.53453665,127.2947445
36.53421897,127.2949142
36.53413086,127.2927788
36.53383545,127.292815
36.53408042,127.2918971
36.53379567,127.2918834
36.5341752,127.2899384
36.53388216,127.2899176
36.53433302,127.2879185
36.53407479,127.2878765
36.53436937,127.2876037
36.53413681,127.2875035
36.52981936,127.2949649
36.52966147,127.2949324
36.5298493,127.2950647
36.52981707,127.2952698
36.52956829,127.2950125
36.52954002,127.2952108
36.52976598,127.295366
36.5296035,127.29533
36.53456454,127.2819973
36.53439122,127.2875469
36.53415806,127.2875146
36.53433632,127.2879498
36.53408379,127.2879005
36.53416137,127.2899773
36.5339305,127.2899501
36.53406592,127.2918636
36.53380599,127.2918567
36.53412124,127.2928019
36.53386202,127.2928345
36.53438932,127.294195
36.53410598,127.2942834
36.53457109,127.2947496
36.53427167,127.2948765
36.5340755,127.2946809
36.53402561,127.2944792
36.52894557,127.3007656
36.52879566,127.3007312
36.51854792,127.2924314
36.5186145,127.2922724
36.52013097,127.2932473
36.52017842,127.2930802
36.53080654,127.2881651
36.53068036,127.2880772
36.52688946,127.2947363
36.52688819,127.2945524
36.52384361,127.2942288
36.52386019,127.2940348
36.52360687,127.2941792
36.52362606,127.2939966
