교차로명,수집년월,동,서,남,북,교통량 합계
가람교차로,May-22,251934,172013,920,574,425441
가람교차로,Jun-22,238017,160764,357723,248283,1004787
가람교차로,Jul-22,243795,167005,366842,250169,1027811
가람교차로,Aug-22,241773,162362,362408,247174,1013717
가람교차로,Sep-22,247753,161082,374796,247735,1031366
가람교차로,Oct-22,250100,162015,382655,253424,1048194
가람교차로,Nov-22,232244,147292,342386,239297,961219
가람교차로,Dec-22,228327,144485,334443,239546,946801
가람교차로,Jan-23,223512,140980,328222,223008,915722
가람교차로,Feb-23,213053,135798,312226,217851,878928
가람교차로,Mar-23,244729,153925,365271,253441,1017366
국책연구단지,May-22,93339,192866,282728,447862,1016795
국책연구단지,Jun-22,86547,177913,248747,398016,911223
국책연구단지,Jul-22,91409,188943,259716,423209,963277
국책연구단지,Aug-22,76065,160209,218842,360431,815547
국책연구단지,Sep-22,86867,181752,256158,420829,945606
국책연구단지,Oct-22,87630,182020,264858,432418,966926
국책연구단지,Nov-22,86243,184320,263484,429353,963400
국책연구단지,Dec-22,85003,181021,256473,408067,930564
국책연구단지,Jan-23,85325,173837,253998,396235,909395
국책연구단지,Feb-23,85509,168437,248499,397539,899984
국책연구단지,Mar-23,98039,193994,279952,451615,1023600
너래교차로,May-22,584469,298484,283169,223763,1389885
너래교차로,Jun-22,542029,270237,266157,213697,1292120
너래교차로,Jul-22,491157,244662,245980,197492,1179291
너래교차로,Aug-22,525611,262102,272711,212172,1272596
너래교차로,Sep-22,440442,253146,266905,206515,1167008
너래교차로,Oct-22,562441,275093,283167,219898,1340599
너래교차로,Nov-22,555694,264342,290256,227862,1338154
너래교차로,Dec-22,516248,245366,269115,200202,1230931
너래교차로,Jan-23,510109,248435,262922,155159,1176625
너래교차로,Feb-23,488212,243934,269013,111225,1112384
너래교차로,Mar-23,562169,273828,316526,164636,1317159
새샘교차로,May-22,76252,535177,612813,331989,1556231
새샘교차로,Jun-22,76465,516923,662507,313936,1569831
새샘교차로,Jul-22,58419,511424,535003,313234,1418080
새샘교차로,Aug-22,79711,270968,527929,311571,1190179
새샘교차로,Sep-22,82807,515797,635974,307631,1542209
새샘교차로,Oct-22,87819,515635,675035,314700,1593189
새샘교차로,Nov-22,85635,268584,642229,302338,1298786
새샘교차로,Dec-22,80794,148753,634037,295410,1158994
새샘교차로,Jan-23,77382,136486,600378,289103,1103349
새샘교차로,Feb-23,77748,152554,599962,287463,1117727
새샘교차로,Mar-23,89221,180454,681863,323099,1274637
성금사거리,May-22,382416,258085,488903,474301,1603705
성금사거리,Jun-22,363496,250369,484344,457493,1555702
성금사거리,Jul-22,341082,240091,272190,427492,1280855
성금사거리,Aug-22,361532,254064,486763,451984,1554343
성금사거리,Sep-22,333548,235501,445548,414597,1429194
성금사거리,Oct-22,259880,249346,451484,445769,1406479
성금사거리,Nov-22,264777,255154,489010,450043,1458984
성금사거리,Dec-22,250614,259172,494615,451536,1455937
성금사거리,Jan-23,245521,244890,478224,430967,1399602
성금사거리,Feb-23,237018,233906,456175,409385,1336484
성금사거리,Mar-23,267150,269881,299758,450457,1287246
세종교차로,May-22,329894,234160,414936,303174,1282164
세종교차로,Jun-22,281120,204337,369457,296202,1151116
세종교차로,Jul-22,298647,199927,390630,314533,1203737
세종교차로,Aug-22,300999,856,390606,315503,1007964
세종교차로,Sep-22,310440,176888,340462,312285,1140075
세종교차로,Oct-22,321275,228875,403456,326178,1279784
세종교차로,Nov-22,286601,205305,393883,314885,1200674
세종교차로,Dec-22,148917,182307,381156,307992,1020372
세종교차로,Jan-23,151192,179827,377190,306592,1014801
세종교차로,Feb-23,150961,177564,373898,302251,1004674
세종교차로,Mar-23,175458,202143,423558,340365,1141524
어진교차로,May-22,290623,354580,383498,468605,1497306
어진교차로,Jun-22,274478,334576,370155,449698,1428907
어진교차로,Jul-22,252758,313067,351617,422469,1339911
어진교차로,Aug-22,263224,333696,369806,445772,1412498
어진교차로,Sep-22,247817,313768,332581,408518,1302684
어진교차로,Oct-22,271419,346412,359864,441064,1418759
어진교차로,Nov-22,263305,329605,365089,440437,1398436
어진교차로,Dec-22,259972,334090,372227,449583,1415872
어진교차로,Jan-23,244727,331847,356908,431444,1364926
어진교차로,Feb-23,235418,305241,335967,407587,1284213
어진교차로,Mar-23,255282,330364,380813,429717,1396176
오송로교차로,May-22,244082,409215,,378821,1032118
오송로교차로,Jun-22,218031,362040,,344523,924594
오송로교차로,Jul-22,186724,386364,,364030,937118
오송로교차로,Aug-22,115811,392259,,366868,874938
오송로교차로,Sep-22,216680,397437,,374138,988255
오송로교차로,Oct-22,244135,407458,,391371,1042964
오송로교차로,Nov-22,248095,408644,,383415,1040154
오송로교차로,Dec-22,227032,375906,,347934,950872
오송로교차로,Jan-23,221359,361533,,343833,926725
오송로교차로,Feb-23,215431,354289,,336413,906133
오송로교차로,Mar-23,251647,408937,,392607,1053191
은하수교차로,May-22,339955,486680,580403,89232,1496270
은하수교차로,Jun-22,320994,439649,539446,82796,1382885
은하수교차로,Jul-22,202987,443451,519886,83006,1249330
은하수교차로,Aug-22,197111,440976,501311,80167,1219565
은하수교차로,Sep-22,216547,450618,501107,83485,1251757
은하수교차로,Oct-22,347441,477076,509751,82683,1416951
은하수교차로,Nov-22,321561,438179,358030,2176,1119946
은하수교차로,Dec-22,180780,385783,283240,1823,851626
은하수교차로,Jan-23,287302,380595,226374,2238,896509
은하수교차로,Feb-23,289232,385273,236839,2425,913769
은하수교차로,Mar-23,333114,444744,299852,2935,1080645
종합운동장교차로,May-22,232439,350324,591776,290181,1464720
종합운동장교차로,Jun-22,224347,336033,558846,274719,1393945
종합운동장교차로,Jul-22,208402,313882,520341,258535,1301160
종합운동장교차로,Aug-22,223379,333654,553287,269498,1379818
종합운동장교차로,Sep-22,209568,309073,511692,253376,1283709
종합운동장교차로,Oct-22,219843,326713,544643,277587,1368786
종합운동장교차로,Nov-22,228065,338467,551510,277917,1395959
종합운동장교차로,Dec-22,229366,341299,548528,273463,1392656
종합운동장교차로,Jan-23,216166,328487,528562,264152,1337367
종합운동장교차로,Feb-23,210550,317833,510962,260253,1299598
종합운동장교차로,Mar-23,232848,347958,568192,288576,1437574
첫마을교차로,May-22,83759,130388,332111,420130,966388
첫마을교차로,Jun-22,81085,123481,313207,403763,921536
첫마을교차로,Jul-22,77983,118254,300694,378381,875312
첫마을교차로,Aug-22,80530,125159,315818,398411,919918
첫마을교차로,Sep-22,71232,115669,280498,365355,832754
첫마을교차로,Oct-22,75518,120451,290276,353508,839753
첫마을교차로,Nov-22,75902,115809,312029,134378,638118
첫마을교차로,Dec-22,76259,108863,307915,234855,727892
첫마을교차로,Jan-23,70804,105746,140117,2097,318764
첫마을교차로,Feb-23,69548,102170,0,0,171718
첫마을교차로,Mar-23,77289,119850,16389,0,213528
청사교차로,May-22,126562,115216,187916,224827,654521
청사교차로,Jun-22,115428,105575,172559,205363,598925
청사교차로,Jul-22,117585,118451,182178,217537,635751
청사교차로,Aug-22,116872,115939,179412,218887,631110
청사교차로,Sep-22,122604,110096,173120,215602,621422
청사교차로,Oct-22,124140,114148,185399,225280,648967
청사교차로,Nov-22,120762,109469,177303,221369,628903
청사교차로,Dec-22,114015,111060,174371,216035,615481
청사교차로,Jan-23,107114,104885,165388,207903,585290
청사교차로,Feb-23,108046,103492,165181,201270,577989
청사교차로,Mar-23,126225,113265,189608,227821,656919
파란달교차로,May-22,355947,123556,283185,336678,1099366
파란달교차로,Jun-22,338575,118853,268300,323993,1049721
파란달교차로,Jul-22,344529,116447,270312,324459,1055747
파란달교차로,Aug-22,352929,121317,263470,318417,1056133
파란달교차로,Sep-22,354039,124502,261591,311846,1051978
파란달교차로,Oct-22,373992,128550,272049,334448,1109039
파란달교차로,Nov-22,348231,123589,260034,338179,1070033
파란달교차로,Dec-22,324453,118943,250041,312633,1006070
파란달교차로,Jan-23,309008,109598,238946,299498,957050
파란달교차로,Feb-23,312053,113816,226859,299734,952462
파란달교차로,Mar-23,355993,129561,255335,352242,1093131
